"highwayThing","streetName"
"http://linkedgeodata.org/triplify/way183084911","Grunigerstraße"
"http://linkedgeodata.org/triplify/way184730231","Bauernweg"
"http://linkedgeodata.org/triplify/way184730239","Apeldamm"
"http://linkedgeodata.org/triplify/way184791376","Heierweg"
"http://linkedgeodata.org/triplify/way19030221","Warburger Straße"
"http://linkedgeodata.org/triplify/way19030223","Warburger Straße"
"http://linkedgeodata.org/triplify/way190375322","Emser Kirchweg"
"http://linkedgeodata.org/triplify/way190375330","Jägergrund"
"http://linkedgeodata.org/triplify/way19912243","Lange Straße"
"http://linkedgeodata.org/triplify/way199356218","Warburger Straße"
"http://linkedgeodata.org/triplify/way20034219","Maltaweg"
"http://linkedgeodata.org/triplify/way200716072","Paderborner Straße"
"http://linkedgeodata.org/triplify/way200716073","Paderborner Straße"
"http://linkedgeodata.org/triplify/way20192269","Padersteinweg"
"http://linkedgeodata.org/triplify/way203098570","Driburger Straße"
"http://linkedgeodata.org/triplify/way20528701","Salzkottener Straße"
"http://linkedgeodata.org/triplify/way20849477","Marstallstraße"
"http://linkedgeodata.org/triplify/way214641689","Paderborner Straße"
"http://linkedgeodata.org/triplify/way214641696","Rietberger Straße"
"http://linkedgeodata.org/triplify/way221457682","Paderborner Straße"
"http://linkedgeodata.org/triplify/way221457683","Paderborner Straße"
"http://linkedgeodata.org/triplify/way224122278","An der B64"
"http://linkedgeodata.org/triplify/way224122279","An der B64"
"http://linkedgeodata.org/triplify/way225021019","Emser Kirchweg"
"http://linkedgeodata.org/triplify/way22911947","Im Quinhagen"
"http://linkedgeodata.org/triplify/way23006737","Paderborner Straße"
"http://linkedgeodata.org/triplify/way23006738","Paderborner Straße"
"http://linkedgeodata.org/triplify/way23015911","Am Furlbach"
"http://linkedgeodata.org/triplify/way23020520","Paderborner Straße"
"http://linkedgeodata.org/triplify/way23020521","Paderborner Straße"
"http://linkedgeodata.org/triplify/way23020522","Paderborner Straße"
"http://linkedgeodata.org/triplify/way23020523","Paderborner Straße"
"http://linkedgeodata.org/triplify/way23299561","Hövelrieger Straße"
"http://linkedgeodata.org/triplify/way23304312","Grenzweg"
"http://linkedgeodata.org/triplify/way23515278","Münsterstraße"
"http://linkedgeodata.org/triplify/way23515279","Münsterstraße"
"http://linkedgeodata.org/triplify/way23964540","Rietberger Straße"
"http://linkedgeodata.org/triplify/way24050902","Am Furlbach"
"http://linkedgeodata.org/triplify/way24147675","Talbrücke Grundsteinheim"
"http://linkedgeodata.org/triplify/way24147884","Hauptstraße"
"http://linkedgeodata.org/triplify/way24147885","Hauptstraße"
"http://linkedgeodata.org/triplify/way24155778","An der B64"
"http://linkedgeodata.org/triplify/way242878721","Falkenweg"
"http://linkedgeodata.org/triplify/way242885595","Emser Kirchweg"
"http://linkedgeodata.org/triplify/way24310132","Moosheider Straße"
"http://linkedgeodata.org/triplify/way24510618","Lange Straße"
"http://linkedgeodata.org/triplify/way24510619","Lange Straße"
"http://linkedgeodata.org/triplify/way24739155","Emilie-Rosenthal-Weg"
"http://linkedgeodata.org/triplify/way24739156","Emilie-Rosenthal-Weg"
"http://linkedgeodata.org/triplify/way24739159","Emilie-Rosenthal-Weg"
"http://linkedgeodata.org/triplify/way24922964","Eckardtstraße"
"http://linkedgeodata.org/triplify/way25035665","Wichmannallee"
"http://linkedgeodata.org/triplify/way25035666","Wichmannallee"
"http://linkedgeodata.org/triplify/way25046130","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way25046156","Paderborner Straße"
"http://linkedgeodata.org/triplify/way25046158","Münsterstraße"
"http://linkedgeodata.org/triplify/way25383749","Hauptstraße"
"http://linkedgeodata.org/triplify/way25383750","Hauptstraße"
"http://linkedgeodata.org/triplify/way25453525","Neuhäuser Kirchstraße"
"http://linkedgeodata.org/triplify/way25681459","Hauptstraße"
"http://linkedgeodata.org/triplify/way258982904","Moosheider Straße"
"http://linkedgeodata.org/triplify/way258982906","Moosheider Straße"
"http://linkedgeodata.org/triplify/way26171136","Falkenweg"
"http://linkedgeodata.org/triplify/way26171138","Ginsterweg"
"http://linkedgeodata.org/triplify/way26171139","Falkenweg"
"http://linkedgeodata.org/triplify/way26171140","Alte Poststraße"
"http://linkedgeodata.org/triplify/way26280607","Marstallstraße"
"http://linkedgeodata.org/triplify/way26286026","Staumühler Straße"
"http://linkedgeodata.org/triplify/way264355293","Falkenweg"
"http://linkedgeodata.org/triplify/way266859995","Warburger Straße"
"http://linkedgeodata.org/triplify/way26703385","Ansgarstraße"
"http://linkedgeodata.org/triplify/way26703386","Ansgarstraße"
"http://linkedgeodata.org/triplify/way267210925","Lange Straße"
"http://linkedgeodata.org/triplify/way26853737","Emser Kirchweg"
"http://linkedgeodata.org/triplify/way26945447","Paderborner Straße"
"http://linkedgeodata.org/triplify/way26945452","Rietberger Straße"
"http://linkedgeodata.org/triplify/way26946308","Paderborner Straße"
"http://linkedgeodata.org/triplify/way26946324","Münsterstraße"
"http://linkedgeodata.org/triplify/way271000656","Liemker Straße"
"http://linkedgeodata.org/triplify/way271000657","Ilsenweg"
"http://linkedgeodata.org/triplify/way282280238","Münsterstraße"
"http://linkedgeodata.org/triplify/way282280239","Münsterstraße"
"http://linkedgeodata.org/triplify/way290395571","Münsterstraße"
"http://linkedgeodata.org/triplify/way290395572","Paderborner Straße"
"http://linkedgeodata.org/triplify/way290395574","Münsterstraße"
"http://linkedgeodata.org/triplify/way290395575","Paderborner Straße"
"http://linkedgeodata.org/triplify/way290395576","Münsterstraße"
"http://linkedgeodata.org/triplify/way290400875","Münsterstraße"
"http://linkedgeodata.org/triplify/way290400876","Münsterstraße"
"http://linkedgeodata.org/triplify/way290400880","Münsterstraße"
"http://linkedgeodata.org/triplify/way290405490","Paderborner Straße"
"http://linkedgeodata.org/triplify/way290405491","Paderborner Straße"
"http://linkedgeodata.org/triplify/way290405493","Paderborner Straße"
"http://linkedgeodata.org/triplify/way290405494","Paderborner Straße"
"http://linkedgeodata.org/triplify/way290405499","Paderborner Straße"
"http://linkedgeodata.org/triplify/way290405500","Paderborner Straße"
"http://linkedgeodata.org/triplify/way290964140","Warburger Straße"
"http://linkedgeodata.org/triplify/way290964142","Warburger Straße"
"http://linkedgeodata.org/triplify/way291205597","An der B64"
"http://linkedgeodata.org/triplify/way29179770","Salzkottener Straße"
"http://linkedgeodata.org/triplify/way29179840","Salzkottener Straße"
"http://linkedgeodata.org/triplify/way291820623","Warburger Straße"
"http://linkedgeodata.org/triplify/way291820625","Warburger Straße"
"http://linkedgeodata.org/triplify/way291820627","Warburger Straße"
"http://linkedgeodata.org/triplify/way291820628","Warburger Straße"
"http://linkedgeodata.org/triplify/way291880290","Warburger Straße"
"http://linkedgeodata.org/triplify/way291880291","Warburger Straße"
"http://linkedgeodata.org/triplify/way291880292","Warburger Straße"
"http://linkedgeodata.org/triplify/way291882859","Warburger Straße"
"http://linkedgeodata.org/triplify/way291882860","Warburger Straße"
"http://linkedgeodata.org/triplify/way291882861","Warburger Straße"
"http://linkedgeodata.org/triplify/way291882862","Warburger Straße"
"http://linkedgeodata.org/triplify/way291882864","Warburger Straße"
"http://linkedgeodata.org/triplify/way291882866","Warburger Straße"
"http://linkedgeodata.org/triplify/way291882867","Warburger Straße"
"http://linkedgeodata.org/triplify/way29402523","Warburger Straße"
"http://linkedgeodata.org/triplify/way29426937","Münsterstraße"
"http://linkedgeodata.org/triplify/way294514639","Lange Straße"
"http://linkedgeodata.org/triplify/way294885025","Hauptstraße"
"http://linkedgeodata.org/triplify/way294885026","Paderborner Straße"
"http://linkedgeodata.org/triplify/way294885027","Hauptstraße"
"http://linkedgeodata.org/triplify/way296761812","An der B64"
"http://linkedgeodata.org/triplify/way296761813","An der B64"
"http://linkedgeodata.org/triplify/way296761814","An der B64"
"http://linkedgeodata.org/triplify/way296761815","An der B64"
"http://linkedgeodata.org/triplify/way296761816","An der B64"
"http://linkedgeodata.org/triplify/way296761817","An der B64"
"http://linkedgeodata.org/triplify/way296761834","Driburger Straße"
"http://linkedgeodata.org/triplify/way296761835","Driburger Straße"
"http://linkedgeodata.org/triplify/way296761838","Driburger Straße"
"http://linkedgeodata.org/triplify/way300838261","Hövelrieger Straße"
"http://linkedgeodata.org/triplify/way300838269","Hövelrieger Straße"
"http://linkedgeodata.org/triplify/way301053634","Münsterstraße"
"http://linkedgeodata.org/triplify/way301053637","Münsterstraße"
"http://linkedgeodata.org/triplify/way301053642","Paderborner Straße"
"http://linkedgeodata.org/triplify/way301053645","Paderborner Straße"
"http://linkedgeodata.org/triplify/way301053647","Paderborner Straße"
"http://linkedgeodata.org/triplify/way301053648","Paderborner Straße"
"http://linkedgeodata.org/triplify/way301053650","Paderborner Straße"
"http://linkedgeodata.org/triplify/way301053651","Rietberger Straße"
"http://linkedgeodata.org/triplify/way301053656","Rietberger Straße"
"http://linkedgeodata.org/triplify/way301053658","Rietberger Straße"
"http://linkedgeodata.org/triplify/way301053659","Rietberger Straße"
"http://linkedgeodata.org/triplify/way301053661","Rietberger Straße"
"http://linkedgeodata.org/triplify/way301053666","Rietberger Straße"
"http://linkedgeodata.org/triplify/way30133324","Schloßstraße"
"http://linkedgeodata.org/triplify/way30133325","Allee"
"http://linkedgeodata.org/triplify/way30724060","Münsterstraße"
"http://linkedgeodata.org/triplify/way31105511","Residenzstraße"
"http://linkedgeodata.org/triplify/way31105517","Paderborner Straße"
"http://linkedgeodata.org/triplify/way313854840","Talbrücke"
"http://linkedgeodata.org/triplify/way313905377","Talbrücke Grundsteinheim"
"http://linkedgeodata.org/triplify/way322885487","Salzkottener Straße"
"http://linkedgeodata.org/triplify/way322885504","Salzkottener Straße"
"http://linkedgeodata.org/triplify/way322885505","Salzkottener Straße"
"http://linkedgeodata.org/triplify/way322885506","Salzkottener Straße"
"http://linkedgeodata.org/triplify/way323130962","Münsterstraße"
"http://linkedgeodata.org/triplify/way323130963","Münsterstraße"
"http://linkedgeodata.org/triplify/way326435307","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way326442767","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way326445346","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way330286671","Moosheider Straße"
"http://linkedgeodata.org/triplify/way335565076","Padersteinweg"
"http://linkedgeodata.org/triplify/way338659054","Warburger Straße"
"http://linkedgeodata.org/triplify/way338659055","Warburger Straße"
"http://linkedgeodata.org/triplify/way34012786","Rietberger Straße"
"http://linkedgeodata.org/triplify/way34012787","Rietberger Straße"
"http://linkedgeodata.org/triplify/way34111140","Paderborner Straße"
"http://linkedgeodata.org/triplify/way34111141","Paderborner Straße"
"http://linkedgeodata.org/triplify/way343094068","Paderborner Straße"
"http://linkedgeodata.org/triplify/way34598849","Grenzweg"
"http://linkedgeodata.org/triplify/way34598850","Grenzweg"
"http://linkedgeodata.org/triplify/way348366510","Lange Straße"
"http://linkedgeodata.org/triplify/way348366511","Lange Straße"
"http://linkedgeodata.org/triplify/way350399188","Bahnhofstraße"
"http://linkedgeodata.org/triplify/way35325190","Lange Straße"
"http://linkedgeodata.org/triplify/way35325191","Lange Straße"
"http://linkedgeodata.org/triplify/way354199311","Emilie-Rosenthal-Weg"
"http://linkedgeodata.org/triplify/way354200538","Residenzstraße"
"http://linkedgeodata.org/triplify/way356290499","Moosheider Straße"
"http://linkedgeodata.org/triplify/way356290504","Moosheider Straße"
"http://linkedgeodata.org/triplify/way361492273","Paderborner Straße"
